Biển số,Thời gian
168 881,2025-05-13 16:43:40
12-B1,2025-05-13 16:43:40
12-B1,2025-05-13 16:43:41
72-B1,2025-05-13 16:43:42
72-B1,2025-05-13 16:43:42
72-B1,2025-05-13 16:43:43
12-B1,2025-05-13 16:43:45
12-B1,2025-05-13 16:43:46
12-B1,2025-05-13 16:43:46
12-B1,2025-05-13 16:43:47
12-B1,2025-05-13 16:43:47
12-B1,2025-05-13 16:43:47
12-B1,2025-05-13 16:43:48
12-B1,2025-05-13 16:43:48
12-B1,2025-05-13 16:43:49
12-B1,2025-05-13 16:43:51
12-B1,2025-05-13 16:43:52
12-B1,2025-05-13 16:43:52
12-B1,2025-05-13 16:43:54
72-B1,2025-05-13 16:43:55
12-B1,2025-05-13 16:43:56
12-B1,2025-05-13 16:43:56
12-B1,2025-05-13 16:43:57
12-B1,2025-05-13 16:43:58
12-B1,2025-05-13 16:43:58
12-B1,2025-05-13 16:43:59
168.88,2025-05-13 16:44:00
12-B1,2025-05-13 16:44:02
12-B1,2025-05-13 16:44:03
72-B1,2025-05-13 16:44:08
72-B1,2025-05-13 16:44:08
72-81,2025-05-13 16:44:09
168.88,2025-05-13 16:44:09
68.88,2025-05-13 16:44:09
8.88,2025-05-13 16:44:10
8.88,2025-05-13 16:44:10
5,2025-05-13 16:44:17
5,2025-05-13 16:44:18
2,2025-05-13 16:44:18
2,2025-05-13 16:44:19
OF.937405,2025-05-13 16:44:28
QE.937405,2025-05-13 16:44:28
JF.937405,2025-05-13 16:44:28
"937,05",2025-05-13 16:44:29
20,2025-05-13 16:44:29
05,2025-05-13 16:44:30
05,2025-05-13 16:44:30
937.05,2025-05-13 16:44:30
05,2025-05-13 16:44:30
137 05,2025-05-13 16:44:31
37.05,2025-05-13 16:44:31
40,2025-05-13 16:44:31
7.05,2025-05-13 16:44:32
0f,2025-05-13 16:44:32
"037,05",2025-05-13 16:44:33
"037,05",2025-05-13 16:44:33
"037,05",2025-05-13 16:44:33
37 05,2025-05-13 16:44:35
937 05,2025-05-13 16:44:36
937 05,2025-05-13 16:44:38
937 05,2025-05-13 16:44:38
937 05,2025-05-13 16:44:38
05,2025-05-13 16:44:39
937 05,2025-05-13 16:44:42
05,2025-05-13 16:44:42
05,2025-05-13 16:44:43
937 05,2025-05-13 16:44:44
037.05,2025-05-13 16:44:44
937 05,2025-05-13 16:44:44
"937,05",2025-05-13 16:44:44
937 05,2025-05-13 16:44:44
937 05,2025-05-13 16:44:45
30F,2025-05-13 16:44:45
05,2025-05-13 16:44:45
05,2025-05-13 16:44:45
05,2025-05-13 16:44:45
05,2025-05-13 16:44:46
05,2025-05-13 16:44:46
05,2025-05-13 16:44:46
05,2025-05-13 16:44:46
05,2025-05-13 16:44:46
05,2025-05-13 16:44:46
05,2025-05-13 16:44:46
05,2025-05-13 16:44:47
937 05,2025-05-13 16:44:47
05,2025-05-13 16:44:47
05,2025-05-13 16:44:47
Q0F,2025-05-13 16:44:47
05,2025-05-13 16:44:48
05,2025-05-13 16:44:48
937 05,2025-05-13 16:44:48
Q0F,2025-05-13 16:44:48
05,2025-05-13 16:44:48
05,2025-05-13 16:44:49
937 05,2025-05-13 16:44:49
937.05,2025-05-13 16:44:49
937 05,2025-05-13 16:44:50
05,2025-05-13 16:44:50
05,2025-05-13 16:44:50
05,2025-05-13 16:44:51
937.05,2025-05-13 16:44:52
05,2025-05-13 16:44:52
05,2025-05-13 16:44:53
05,2025-05-13 16:44:53
05,2025-05-13 16:44:54
05,2025-05-13 16:44:54
937.05,2025-05-13 16:44:54
05,2025-05-13 16:44:54
05,2025-05-13 16:44:54
05,2025-05-13 16:44:55
05,2025-05-13 16:44:55
05,2025-05-13 16:44:55
05,2025-05-13 16:44:55
05,2025-05-13 16:44:56
05,2025-05-13 16:44:56
05,2025-05-13 16:44:56
05,2025-05-13 16:44:56
05,2025-05-13 16:44:56
05,2025-05-13 16:44:56
05,2025-05-13 16:44:57
05,2025-05-13 16:44:57
05,2025-05-13 16:44:57
05,2025-05-13 16:44:57
05,2025-05-13 16:44:57
05,2025-05-13 16:44:57
05,2025-05-13 16:44:58
05,2025-05-13 16:44:58
05,2025-05-13 16:44:58
05,2025-05-13 16:44:58
DOE,2025-05-13 16:45:05
2115,2025-05-13 16:45:05
2115,2025-05-13 16:45:06
2115,2025-05-13 16:45:06
1,2025-05-13 16:45:06
5,2025-05-13 16:45:06
IJ0E 921,2025-05-13 16:45:07
Q0E 92115,2025-05-13 16:45:14
BQE 92115,2025-05-13 16:45:15
BQE 92115,2025-05-13 16:45:15
QE.92115,2025-05-13 16:45:15
BQE 92115,2025-05-13 16:45:15
BQE 92115,2025-05-13 16:45:16
JE 92115,2025-05-13 16:45:17
JE.92115,2025-05-13 16:45:17
JE 92115,2025-05-13 16:45:17
J0E 921 15,2025-05-13 16:45:18
J0E 921.15,2025-05-13 16:45:18
3J0E 92115,2025-05-13 16:45:18
J0E 92115,2025-05-13 16:45:18
J0E 921 15,2025-05-13 16:45:19
30E 92115,2025-05-13 16:45:19
J0E 92115,2025-05-13 16:45:19
J0E 92115,2025-05-13 16:45:20
J0E 92115,2025-05-13 16:45:20
3E 92115,2025-05-13 16:45:21
J0E 92115,2025-05-13 16:45:22
J0E 92115,2025-05-13 16:45:22
J0E 92115,2025-05-13 16:45:23
J0E 92115,2025-05-13 16:45:24
JOE 92115,2025-05-13 16:45:26
J0E 92115,2025-05-13 16:45:26
JOE 92115,2025-05-13 16:45:26
J0E 921 15,2025-05-13 16:45:27
J0E 921 15,2025-05-13 16:45:27
J0E 921 15,2025-05-13 16:45:27
J0E 92115,2025-05-13 16:45:28
J0E 92115,2025-05-13 16:45:28
JOE 92115,2025-05-13 16:45:29
J0E 92115,2025-05-13 16:45:29
JE 92115,2025-05-13 16:45:29
JE 921 15,2025-05-13 16:45:29
QE 92115,2025-05-13 16:45:30
QQE 92115,2025-05-13 16:45:30
JE 92115,2025-05-13 16:45:31
J0E 92115,2025-05-13 16:45:32
J0E 921 15,2025-05-13 16:45:33
921 15,2025-05-13 16:45:35
021 15,2025-05-13 16:45:35
021 15,2025-05-13 16:45:36
JE 921.15,2025-05-13 16:45:36
F 921 15,2025-05-13 16:45:37
F 921 15,2025-05-13 16:45:37
JF 021 15,2025-05-13 16:45:38
F 921 15,2025-05-13 16:45:38
021 15,2025-05-13 16:45:39
D0E.92115,2025-05-13 16:46:02
7715,2025-05-13 16:46:03
E92115,2025-05-13 16:46:07
E92115,2025-05-13 16:46:07
[921 15,2025-05-13 16:46:08
921 15,2025-05-13 16:46:09
WL,2025-05-13 16:46:10
92115,2025-05-13 16:46:11
921 15,2025-05-13 16:46:11
E92115,2025-05-13 16:46:13
JOE 92115,2025-05-13 16:46:14
"B0L,92115",2025-05-13 16:46:15
